"_oid","_parent_oid","_last_modified","file_class","file_creationInfo_agencyID","file_creationInfo_agencyURI_resourceID","file_creationInfo_agencyURI_used","file_creationInfo_author","file_creationInfo_authorURI_resourceID","file_creationInfo_authorURI_used","file_creationInfo_creationTime","file_creationInfo_creationTime_ms","file_creationInfo_version","file_creationInfo_used","file_description","file_filename","file_type","file_url"
82918,1,2016-05-17 11:28:46,picture,,,0,,,0,,,,0,Final installation,IMG_0321.JPG,image/jpeg,/stationbook-files/Z3/A001A/IMG_0321.JPG
82920,1,2016-05-17 11:29:28,picture,,,0,,,0,,,,0,Shelter from outside,IMG_2916.JPG,image/jpeg,/stationbook-files/Z3/A001A/IMG_2916.JPG
82922,1,2016-05-17 11:30:49,picture,,,0,,,0,,,,0,Power supply with solar panel,IMG_0309.JPG,image/jpeg,/stationbook-files/Z3/A001A/IMG_0309.JPG
82924,1,2016-05-17 11:31:37,picture,,,0,,,0,,,,0,Second solar panel installed later,IMG_3063.JPG,image/jpeg,/stationbook-files/Z3/A001A/IMG_3063.JPG
82927,1,2016-05-17 12:25:43,picture,,,0,,,0,,,,0,Building from outside,IMG_2827.JPG,image/jpeg,/stationbook-files/Z3/A002A/IMG_2827.JPG
82929,1,2016-05-17 12:26:12,picture,,,0,,,0,,,,0,Sensor,IMG_3189.JPG,image/jpeg,/stationbook-files/Z3/A002A/IMG_3189.JPG
82932,1,2016-05-17 12:38:50,picture,,,0,,,0,,,,0,Building outside,IMG_2913.JPG,image/jpeg,/stationbook-files/Z3/A003A/IMG_2913.JPG
82934,1,2016-05-17 12:39:08,picture,,,0,,,0,,,,0,Building inside,IMG_2912.JPG,image/jpeg,/stationbook-files/Z3/A003A/IMG_2912.JPG
82936,1,2016-05-17 12:39:33,picture,,,0,,,0,,,,0,Sensor,IMG_2891.JPG,image/jpeg,/stationbook-files/Z3/A003A/IMG_2891.JPG
82939,1,2016-05-17 13:32:45,picture,,,0,,,0,,,,0,Castle outside,A004A.jpg,image/jpeg,/stationbook-files/Z3/A004A/A004A.jpg
82941,1,2016-05-17 13:33:25,picture,,,0,,,0,,,,0,Sensor and data logger,IMG_2900.JPG,image/jpeg,/stationbook-files/Z3/A004A/IMG_2900.JPG
82946,1,2016-05-17 13:40:59,picture,,,0,,,0,,,,0,Hut outside,IMG_0071.JPG,image/jpeg,/stationbook-files/Z3/A005A/IMG_0071.JPG
82948,1,2016-05-17 13:41:17,picture,,,0,,,0,,,,0,Sensor thermal cover,P1130539.JPG,image/jpeg,/stationbook-files/Z3/A005A/P1130539.JPG
82950,1,2016-05-17 13:41:47,picture,,,0,,,0,,,,0,Sensor and data logger,P1130544.JPG,image/jpeg,/stationbook-files/Z3/A005A/P1130544.JPG
82953,1,2016-05-17 13:46:15,picture,,,0,,,0,,,,0,Outside,IMG_0749.JPG,image/jpeg,/stationbook-files/Z3/A006A/IMG_0749.JPG
82955,1,2016-05-17 13:47:15,picture,,,0,,,0,,,,0,Sensor on concrete socket,IMG_0744.JPG,image/jpeg,/stationbook-files/Z3/A006A/IMG_0744.JPG
82957,1,2016-05-17 13:48:03,picture,,,0,,,0,,,,0,Data logger and entrance,IMG_0745.JPG,image/jpeg,/stationbook-files/Z3/A006A/IMG_0745.JPG
82960,1,2016-05-17 15:08:55,picture,,,0,,,0,,,,0,Castle entrance outside,IMG_1530.JPG,image/jpeg,/stationbook-files/Z3/A007A/IMG_1530.JPG
82962,1,2016-05-17 15:09:43,picture,,,0,,,0,,,,0,Sensor setup,IMG_1522.JPG,image/jpeg,/stationbook-files/Z3/A007A/IMG_1522.JPG
82964,1,2016-05-17 15:10:11,picture,,,0,,,0,,,,0,Sensor final installation,IMG_1527.JPG,image/jpeg,/stationbook-files/Z3/A007A/IMG_1527.JPG
82967,1,2016-05-17 15:18:41,picture,,,0,,,0,,,,0,Final installation,IMG_0738.JPG,image/jpeg,/stationbook-files/Z3/A008A/IMG_0738.JPG
82969,1,2016-05-17 15:19:08,picture,,,0,,,0,,,,0,Sensor on concrete base,IMG_0722.JPG,image/jpeg,/stationbook-files/Z3/A008A/IMG_0722.JPG
82971,1,2016-05-17 15:19:49,picture,,,0,,,0,,,,0,Sensor in wooden hut (concrete tower was removed),IMG_0147.JPG,image/jpeg,/stationbook-files/Z3/A008A/IMG_0147.JPG
82974,1,2016-05-17 15:33:46,picture,,,0,,,0,,,,0,Outside,IMG_0109.jpg,image/jpeg,/stationbook-files/Z3/A009A/IMG_0109.jpg
82976,1,2016-05-17 15:34:27,picture,,,0,,,0,,,,0,Sensor closeup,IMG_0110.JPG,image/jpeg,/stationbook-files/Z3/A009A/IMG_0110.JPG
82978,1,2016-05-17 15:34:52,picture,,,0,,,0,,,,0,Sensor shelter,IMG_0119.JPG,image/jpeg,/stationbook-files/Z3/A009A/IMG_0119.JPG
82981,1,2016-05-17 15:42:12,picture,,,0,,,0,,,,0,Outside,IMG_2954.JPG,image/jpeg,/stationbook-files/Z3/A010A/IMG_2954.JPG
82983,1,2016-05-17 15:42:54,picture,,,0,,,0,,,,0,Power supply with solar panels,IMG_2982.JPG,image/jpeg,/stationbook-files/Z3/A010A/IMG_2982.JPG
82985,1,2016-05-17 15:43:33,picture,,,0,,,0,,,,0,Sensor final installation,IMG_2946.JPG,image/jpeg,/stationbook-files/Z3/A010A/IMG_2946.JPG
82988,1,2016-05-17 16:10:45,picture,,,0,,,0,,,,0,Outside,IMG_1622.JPG,image/jpeg,/stationbook-files/Z3/A011A/IMG_1622.JPG
82990,1,2016-05-17 16:11:12,picture,,,0,,,0,,,,0,Sensor preparation,IMG_1637.JPG,image/jpeg,/stationbook-files/Z3/A011A/IMG_1637.JPG
82992,1,2016-05-17 16:11:43,picture,,,0,,,0,,,,0,Final setup,IMG_1658.JPG,image/jpeg,/stationbook-files/Z3/A011A/IMG_1658.JPG
82994,1,2016-05-17 16:12:01,picture,,,0,,,0,,,,0,Power supply with solar panels,IMG_3076.JPG,image/jpeg,/stationbook-files/Z3/A011A/IMG_3076.JPG
82997,1,2016-05-17 16:23:21,picture,,,0,,,0,,,,0,Outside,IMG_3014.JPG,image/jpeg,/stationbook-files/Z3/A012A/IMG_3014.JPG
82999,1,2016-05-17 16:24:19,picture,,,0,,,0,,,,0,Final setup,IMG_3018.JPG,image/jpeg,/stationbook-files/Z3/A012A/IMG_3018.JPG
83001,1,2016-05-17 16:25:43,picture,,,0,,,0,,,,0,Power supply with fuel cell (and solar panel),IMG_3033.JPG,image/jpeg,/stationbook-files/Z3/A012A/IMG_3033.JPG
83004,1,2016-05-17 16:40:26,picture,,,0,,,0,,,,0,Outside,IMG_1188.JPG,image/jpeg,/stationbook-files/Z3/A013A/IMG_1188.JPG
83006,1,2016-05-17 16:41:03,picture,,,0,,,0,,,,0,Space prepared for sensor,IMG_1183.JPG,image/jpeg,/stationbook-files/Z3/A013A/IMG_1183.JPG
83008,1,2016-05-17 16:41:40,picture,,,0,,,0,,,,0,Final setup,IMG_1222.JPG,image/jpeg,/stationbook-files/Z3/A013A/IMG_1222.JPG
83011,1,2016-05-17 16:47:37,picture,,,0,,,0,,,,0,Outside,IMG_1238.JPG,image/jpeg,/stationbook-files/Z3/A014A/IMG_1238.JPG
83013,1,2016-05-17 16:48:46,picture,,,0,,,0,,,,0,Antenna shelter,IMG_1237.JPG,image/jpeg,/stationbook-files/Z3/A014A/IMG_1237.JPG
83015,1,2016-05-17 16:49:23,picture,,,0,,,0,,,,0,Final setup,IMG_1233.JPG,image/jpeg,/stationbook-files/Z3/A014A/IMG_1233.JPG
83018,1,2016-05-17 16:57:41,picture,,,0,,,0,,,,0,Sensor preparation,IMG_0992.JPG,image/jpeg,/stationbook-files/Z3/A016A/IMG_0992.JPG
83020,1,2016-05-17 16:58:39,picture,,,0,,,0,,,,0,Outside,IMG_0986.JPG,image/jpeg,/stationbook-files/Z3/A016A/IMG_0986.JPG
83023,1,2016-05-17 17:10:56,picture,,,0,,,0,,,,0,Outside,IMG_2991.JPG,image/jpeg,/stationbook-files/Z3/A017A/IMG_2991.JPG
83025,1,2016-05-17 17:11:22,picture,,,0,,,0,,,,0,Operated with fuel cell (and solar panel),IMG_3005.JPG,image/jpeg,/stationbook-files/Z3/A017A/IMG_3005.JPG
83027,1,2016-05-17 17:11:57,picture,,,0,,,0,,,,0,Final setup,IMG_3001.JPG,image/jpeg,/stationbook-files/Z3/A017A/IMG_3001.JPG
83030,1,2016-05-18 11:46:13,picture,,,0,,,0,,,,0,Sensor in house on the right,IMG_3088.JPG,image/jpeg,/stationbook-files/Z3/A018A/IMG_3088.JPG
83032,1,2016-05-18 11:46:51,picture,,,0,,,0,,,,0,Box with data logger,IMG_1134.JPG,image/jpeg,/stationbook-files/Z3/A018A/IMG_1134.JPG
83034,1,2016-05-18 11:47:15,picture,,,0,,,0,,,,0,Sensor with thermal cover,IMG_1135.JPG,image/jpeg,/stationbook-files/Z3/A018A/IMG_1135.JPG
83036,1,2016-05-18 11:47:38,picture,,,0,,,0,,,,0,Final setup,IMG_3081.JPG,image/jpeg,/stationbook-files/Z3/A018A/IMG_3081.JPG
83039,1,2016-05-18 12:08:58,picture,,,0,,,0,,,,0,Outside,IMG_1258.JPG,image/jpeg,/stationbook-files/Z3/A019A/IMG_1258.JPG
83041,1,2016-05-18 12:09:23,picture,,,0,,,0,,,,0,Neighboring holiday house,IMG_1256.JPG,image/jpeg,/stationbook-files/Z3/A019A/IMG_1256.JPG
83043,1,2016-05-18 12:09:51,picture,,,0,,,0,,,,0,Sensor setup,IMG_1270.JPG,image/jpeg,/stationbook-files/Z3/A019A/IMG_1270.JPG
83045,1,2016-05-18 12:10:56,picture,,,0,,,0,,,,0,Data logger on upper floor,IMG_1321.JPG,image/jpeg,/stationbook-files/Z3/A019A/IMG_1321.JPG
83047,1,2016-05-18 12:11:32,picture,,,0,,,0,,,,0,Final sensor setting,IMG_1324.JPG,image/jpeg,/stationbook-files/Z3/A019A/IMG_1324.JPG
83049,1,2016-05-18 12:12:16,picture,,,0,,,0,,,,0,Powered by solar panels,IMG_3055.JPG,image/jpeg,/stationbook-files/Z3/A019A/IMG_3055.JPG
83052,1,2016-05-18 12:21:40,picture,,,0,,,0,,,,0,Yard of cowshed,IMG_2678.JPG,image/jpeg,/stationbook-files/Z3/A020A/IMG_2678.JPG
83054,1,2016-05-18 12:22:05,picture,,,0,,,0,,,,0,Final setting,IMG_2681.JPG,image/jpeg,/stationbook-files/Z3/A020A/IMG_2681.JPG
83057,1,2016-05-18 12:35:30,picture,,,0,,,0,,,,0,Outside,IMG_2552.JPG,image/jpeg,/stationbook-files/Z3/A021A/IMG_2552.JPG
83059,1,2016-05-18 12:36:22,picture,,,0,,,0,,,,0,Sensor final setting,IMG_2597.JPG,image/jpeg,/stationbook-files/Z3/A021A/IMG_2597.JPG
83062,1,2016-05-18 13:57:59,picture,,,0,,,0,,,,0,Yard of farm house,IMG_1031.JPG,image/jpeg,/stationbook-files/Z3/A024A/IMG_1031.JPG
83064,1,2016-05-18 13:58:26,picture,,,0,,,0,,,,0,Sensor setup,IMG_1040.JPG,image/jpeg,/stationbook-files/Z3/A024A/IMG_1040.JPG
